INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(1, 3, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(72, 14, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(73, 15, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(74, 15, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(75, 15, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(76, 15, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(77, 15, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(78, 15, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(79, 16, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(80, 16, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(81, 16, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(82, 16, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(83, 16, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(84, 16, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(85, 17, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(86, 17, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(87, 17, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(88, 17, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(89, 17, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(90, 17, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(91, 18, 91, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(92, 18, 92, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(93, 18, 93, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(94, 18, 94, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(95, 18, 95, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(96, 18, 96, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(97, 19, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(98, 19, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(99, 19, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(100, 19, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(101, 19, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(102, 19, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(103, 20, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(104, 20, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(105, 20, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(106, 20, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(107, 20, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(108, 20, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(109, 8, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(110, 8, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(111, 8, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(112, 8, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(113, 8, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(114, 8, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(115, 10, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(116, 10, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(117, 10, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(118, 10, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(119, 10, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(120, 10, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(121, 21, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(122, 21, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(123, 21, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(124, 21, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(125, 21, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(126, 21, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(127, 22, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(128, 22, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(129, 22, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(130, 22, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(131, 22, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(132, 22, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(133, 12, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(134, 12, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(135, 12, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(136, 12, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(137, 12, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(138, 12, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(139, 23, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(140, 23, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(141, 23, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(142, 23, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(143, 23, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(144, 23, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(145, 24, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(146, 24, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(147, 24, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(148, 24, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(149, 24, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(150, 24, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(151, 13, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(152, 13, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(153, 13, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(154, 13, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(155, 13, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(156, 13, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(157, 25, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(158, 25, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(159, 25, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(160, 25, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(161, 25, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(162, 25, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(163, 26, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(164, 26, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(165, 26, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(166, 26, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(167, 26, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(168, 26, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(169, 27, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(170, 27, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(171, 27, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(172, 27, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(173, 27, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(174, 27, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(175, 18, 97, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(176, 18, 98, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(177, 18, 99, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(178, 18, 100, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(179, 18, 101, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(180, 18, 102, '0.37');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(181, 28, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(182, 28, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(183, 28, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(184, 28, 106, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(185, 28, 107, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(186, 28, 108, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(187, 29, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(188, 29, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(189, 29, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(190, 29, 106, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(191, 29, 107, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(192, 29, 108, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(193, 20, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(194, 20, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(195, 20, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(196, 20, 106, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(197, 20, 107, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(198, 20, 108, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(199, 8, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(200, 8, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(201, 8, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(202, 8, 106, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(203, 8, 107, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(204, 8, 108, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(205, 22, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(206, 22, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(207, 22, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(208, 22, 106, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(209, 22, 107, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(210, 22, 108, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(211, 12, 103, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(212, 12, 104, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(213, 12, 105, '0.36');
INSERT INTO `PriorsDiseases` (`Id`, `DiseaseID`, `AnimalID`, `Probability`) VALUES(214, 12, 106, '0.36');
